FID,year,jday,gmt,icount,lat,lon,code,frp,zen,5kmIGBP,500mIGBP,30mFCCS,30mCDL,1kmGLCC,BinTime
0,2019,227,10.2,14839,43.49,-92.24,15,24.7,48.27,12,12,213,141,30,10.5
1,2019,229,11.7,22273,43.47,-94.51,15,12.1,36.56,12,12,0,5,35,12
2,2019,232,18.17,33351,43.49,-95.06,15,23.1,67.88,12,17,-9999,111,35,18.5
3,2019,225,18.28,8048,43.39,-91.85,15,16.1,69.67,12,12,90,141,30,18.5
4,2019,229,13.28,22827,43.47,-95.86,15,10.1,29.67,12,12,0,5,35,13.5
5,2019,228,18.12,20748,43.41,-96.43,15,19.3,65.24,12,12,0,5,35,18.5
6,2019,232,17.17,33130,43.41,-95.2,15,7.4,57.02,12,12,0,1,35,17.5
7,2019,241,14.67,96282,43.42,-95.41,15,12.6,37.62,12,12,0,5,35,15
8,2019,242,13.67,97622,43.4,-95.09,15,24.9,34.23,12,12,213,195,35,14
9,2019,232,13.51,32355,43.21,-91.71,15,21.4,30.6,12,12,0,1,30,14
10,2019,239,15.51,94264,43.27,-94.07,15,6.2,43.54,12,12,0,121,35,16
11,2019,241,14.67,96283,43.28,-95.04,15,19.2,37.65,12,12,0,1,35,15
12,2019,241,15.17,96353,43.29,-95.9,15,15.3,40.62,12,12,0,1,35,15.5
13,2019,227,17.2,16615,43,-103.6,15,28.9,50.01,10,10,236,176,2,17.5
14,2019,232,13.17,32288,43.22,-95.5,15,13.1,30.48,12,12,131,195,35,13.5
15,2019,236,12.17,60285,43.21,-95.38,15,24.8,35.44,12,12,0,1,35,12.5
16,2019,239,12.67,93875,43,-103.6,15,8.8,36.43,10,10,236,176,2,13
17,2019,228,18.03,20722,43,-103.11,15,11.9,59.45,10,10,236,176,2,18.5
18,2019,239,12.51,93864,42.98,-103.25,15,6.7,37.29,10,10,66,176,40,13
19,2019,227,17.12,16600,42.96,-103.03,15,33.5,49.53,10,10,236,152,40,17.5
20,2019,232,17.01,33095,43.14,-95.75,15,28.7,54.81,12,12,0,1,35,17.5
21,2019,238,13.01,85974,42.97,-102.73,15,37.1,34.08,10,10,213,176,40,13.5
22,2019,239,12.84,93884,42.99,-102.46,15,15.1,35.1,10,10,236,176,41,13
23,2019,241,15.51,96390,43.13,-95.63,15,11.4,43.25,12,12,0,1,35,16
24,2019,227,17.12,16601,42.91,-103.18,15,23.7,49.41,10,10,236,176,40,17.5
25,2019,227,18.62,16903,42.97,-102.08,15,34.8,66.32,10,10,236,176,41,19
26,2019,227,18.7,16926,42.97,-102.08,12,42.6,67.24,10,10,236,176,41,19
27,2019,231,19.51,31564,42.88,-103.6,15,9.9,76.25,10,10,66,176,2,20
28,2019,238,19.34,87189,42.86,-103.8,15,28.8,76.19,10,10,236,176,40,19.5
29,2019,239,14.84,94224,42.93,-102.98,15,6.4,34.69,10,10,0,36,40,15
30,2019,227,19.78,17117,42.85,-103.64,15,28,78.21,10,10,66,176,40,20
31,2019,228,16.87,20314,43.05,-94.41,15,18.6,53.19,12,12,0,5,35,17
32,2019,231,19.67,31578,42.87,-103.47,15,17.9,78.17,10,10,66,176,40,20
33,2019,238,16.17,86480,42.93,-102.49,15,30,43.93,10,10,67,142,41,16.5
34,2019,239,11.34,93800,43.08,-96.44,15,35.3,42.69,12,12,900,111,35,11.5
35,2019,241,14.17,96223,43.06,-95.97,15,15.9,34.71,12,12,0,1,35,14.5
36,2019,242,12.84,97464,43.08,-95.16,15,35.1,34.33,12,12,213,5,35,13
37,2019,227,18.37,16830,42.81,-103.96,15,28.2,62.2,10,10,66,37,2,18.5
38,2019,229,13.2,22799,43.02,-92.95,15,23.2,29.14,12,12,317,141,35,13.5
39,2019,227,17.28,16628,42.79,-103.58,15,34.7,50.83,10,10,610,176,41,17.5
40,2019,227,17.87,16719,42.83,-102.67,15,29.4,57.69,10,10,610,142,22,18
41,2019,228,14.2,19283,42.99,-98.75,15,13.5,29.62,10,12,0,5,30,14.5
42,2019,228,17.03,20358,42.98,-99.13,15,22,51.62,10,10,213,24,7,17.5
43,2019,232,14.84,32643,42.99,-94.45,15,13.4,35.69,12,12,0,5,35,15
44,2019,235,10.01,52454,42.86,-102.33,15,26.5,58.6,10,10,236,176,41,10.5
45,2019,238,13.84,86079,42.83,-102.74,15,19,31.97,10,10,610,176,94,14
46,2019,238,14.01,86102,42.83,-102.74,15,18.4,32.01,10,10,610,176,94,14.5
47,2019,238,15.17,86295,42.9,-101.44,15,24.2,36.73,10,10,236,176,2,15.5
48,2019,238,15.17,86296,42.82,-103.04,15,30.9,36,10,10,66,176,40,15.5
49,2019,239,14.17,94099,42.81,-102.91,15,44,32.51,10,10,67,176,40,14.5
50,2019,239,14.51,94173,42.88,-102.03,15,20,33.55,10,10,236,176,41,15
51,2019,225,13.45,6286,42.93,-99.9,15,12.4,28.05,10,10,236,176,94,13.5
52,2019,228,12.7,18582,42.93,-92.14,15,23.4,29.49,12,12,0,5,35,13
53,2019,231,17.34,31230,42.93,-99.78,15,10.4,55.17,10,10,236,176,94,17.5
54,2019,232,14.67,32615,42.92,-99.1,15,12,32.72,10,10,131,176,7,15
55,2019,228,11.45,17927,42.73,-103.54,15,16.5,43.25,10,10,236,176,40,11.5
56,2019,232,15.01,32678,42.91,-98.83,15,8.6,34.78,10,12,213,176,30,15.5
57,2019,232,17.67,33222,42.93,-96.35,15,9.5,61.46,12,12,0,5,35,18
58,2019,236,13.67,60392,42.94,-95.33,15,32,31.59,12,12,0,5,35,14
59,2019,239,14.67,94204,42.8,-101.81,15,5.9,34.18,10,10,236,176,2,15
60,2019,228,14.03,19207,42.84,-100.36,15,27.5,28.84,10,10,236,176,41,14.5
61,2019,229,16.7,24453,42.7,-103.52,15,28.3,45.41,10,10,236,176,40,17
62,2019,238,16.84,86595,42.76,-102.06,15,31.8,50.39,10,10,67,176,41,17
63,2019,242,11.84,97218,42.9,-96.37,15,10.8,39.49,12,12,0,5,35,12
64,2019,243,11.01,98745,42.67,-103.97,15,21.6,51.02,10,10,236,176,2,11.5
65,2019,229,19.7,25777,42.71,-102.25,15,38.9,78.83,10,10,0,24,41,20
66,2019,232,10.84,31909,42.63,-103.86,15,0.1,50.27,10,10,236,176,40,11
67,2019,234,15.34,48158,42.65,-103.65,15,18.3,35.3,10,10,67,176,40,15.5
68,2019,236,11.67,60251,42.88,-95.31,15,22.6,38.52,12,12,90,121,30,12
69,2019,239,15.01,94233,42.73,-102.01,15,12.3,35.71,10,10,236,176,41,15.5
70,2019,239,15.17,94244,42.73,-101.95,15,20.6,36.72,10,10,236,176,22,15.5
71,2019,239,15.34,94256,42.73,-101.98,15,19.7,37.8,10,10,236,176,41,15.5
72,2019,226,17.28,11046,42.67,-102.59,15,41.4,51.24,10,10,236,176,41,17.5
73,2019,228,11.2,17850,42.6,-103.74,15,17,45.76,10,10,236,176,2,11.5
74,2019,229,19.62,25761,42.69,-102.29,15,33.2,77.89,10,10,0,61,41,20
75,2019,232,18.01,33302,42.83,-95.96,15,22.1,65.36,12,12,0,1,35,18.5
76,2019,238,15.34,86326,42.66,-102.79,15,23.5,37.03,10,10,236,176,40,15.5
77,2019,239,13.84,93974,42.67,-102.53,15,11.4,32.16,10,10,0,42,41,14
78,2019,242,12.67,97427,42.85,-95.89,15,24.8,34.78,12,12,0,1,35,13
79,2019,225,18.87,8234,42.74,-100.07,15,27.4,70.08,10,10,236,176,41,19
80,2019,228,13.7,19069,42.71,-100.62,15,24.3,28.52,10,10,236,176,41,14
81,2019,228,15.12,19708,42.73,-99.92,15,23.9,33.63,10,10,236,176,94,15.5
82,2019,232,11.01,31926,42.77,-98.38,15,3.5,45.05,10,10,1,141,94,11.5
83,2019,238,17.51,86692,42.73,-99.86,15,26.1,58.78,10,10,302,176,94,18
84,2019,239,10.84,93783,42.8,-96.55,15,30.3,47.04,12,12,131,121,35,11
